source_id,url,titulo,fecha_publicacion,fecha_consulta,pais,tipo_fuente,señal,apoya,refuta,fiabilidad
S012,https://www.ocu.org/reclamar/lista-reclamaciones-publicas/problema-con-el-reembolso-de-p/15ac61793f622ddb3e,"Reclamacion publica OCU: problema con el reembolso de pedido cancelado (Glovo)",2026-02-05,2026-08-12,ES,"reclamacion publica","Volumen de incidencias de cancelacion/reembolso en el ecosistema",ID-01,,media
S013,https://www.ocu.org/reclamar/lista-reclamaciones-publicas/cobro-indebido/7d3658c34e7071a9bf,"Reclamacion publica OCU: cobro indebido (Glovo)",2026-02-03,2026-08-12,ES,"reclamacion publica","Incidencias recurrentes de cobros indebidos",ID-01,,media
S014,https://www.profesionalhoreca.com/los-hosteleros-preocupados-ante-el-cambio-de-facturacion-de-glovo/,"Los hosteleros, preocupados ante el cambio de facturacion de Glovo",2022-05,2026-08-12,ES,"prensa sectorial","Historial de cambios unilaterales en el modelo de facturacion de Glovo a restaurantes; posicion de Hosteleria de Espana",ID-01,,media-alta
S015,https://www.elespanol.com/madrid/sociedad/20251011/riders-extinguen-madrid-restauracion-pierde-facturacion-ley-yolanda-diaz/1003743963499_0.html,"Los riders se extinguen en Madrid: la restauracion pierde un 20% de su facturacion",2025-10-11,2026-08-12,ES,"prensa generalista","Presion de margen en el canal delivery tras la Ley Rider",ID-01,,media
S016,https://www.nubceo.com/producto,"Nubceo - conciliacion automatica de ventas TPV vs liquidaciones y bancos",n/d,2026-08-12,ES,"competidor adyacente","Concilia TPV/medios de pago/banco pero no audita cargos de plataformas de delivery",ID-01,ID-01 (competencia adyacente),media
S017,https://www.mycheftool.com/software-hosteleria,"MyChefTool - software hosteleria con foco en reducir comisiones de delivery",n/d,2026-08-12,ES,"competidor adyacente","Ataca la comision (canal propio) pero no la auditoria de liquidaciones",ID-01,ID-01 (sustituto parcial),media
S018,https://www.boe.es/buscar/act.php?id=BOE-A-2025-26698,"Ley 10/2025 de servicios de atencion a la clientela (BOE)",2025-12-27,2026-08-12,ES,"legislacion/fuente primaria","Ambito, plazos de respuesta (2h/5d/15d habiles), 95% de llamadas <3 min, 24h en servicios basicos, conservacion 5 anos, evaluacion anual y auditoria ENAC; adaptacion en 12 meses",ID-02,,alta
S019,https://www.fieldfisher.com/es-es/locations/espana/actualidad/ley-servicios-atencion-clientela,"28 de diciembre de 2026: entra en vigor la Ley de Servicios de Atencion a la Clientela",2026,2026-08-12,ES,"despacho de abogados","Confirma la fecha limite de adaptacion (acceso HTTP 403; usada solo la ficha del buscador)",ID-02,,media
S020,https://www.sgs.com/es-es/noticias/2026/03/servicios-de-atencion-a-la-clientela,"Ley 10/2025: nuevas obligaciones y retos para las empresas (SGS)",2026-03,2026-08-12,ES,"certificadora","Las auditoras/certificadoras ya venden servicio de adaptacion: existe presupuesto en el mercado",ID-02,ID-02 (competencia de consultoras),media-alta
S021,https://sede.cnmc.gob.es/listado/censo/2,"Listado publico de comercializadoras de electricidad (CNMC)",n/d,2026-08-12,ES,"registro publico","Metodo verificable para localizar cientos de prospectos de servicios basicos",ID-02,,alta
S022,https://www.cnmc.es/sectores-que-regulamos/telecomunicaciones/registro-de-operadores,"Registro de operadores de telecomunicaciones (CNMC)",n/d,2026-08-12,ES,"registro publico","Listado publico de operadores; incluye operadores locales de fibra",ID-02,,alta
S023,https://www.economistjurist.es/articulos-juridicos-destacados/rd-ley-7-2026-convalidado-se-adelanta-un-ano-la-obligacion-de-los-planes-de-movilidad-sostenible-al-trabajo-pmst/,"RD-ley 7/2026 convalidado: se adelanta un ano la obligacion de los PMST",2026,2026-08-12,ES,"prensa juridica","Plazo reducido de 24 a 12 meses; fecha limite 5/12/2026; umbral >200 trabajadores o 100 por turno",ID-03,,media-alta
S024,https://prlugtaragon.org/se-reduce-el-plazo-para-disponer-de-un-plan-de-movilidad-sostenible/,"Se reduce el plazo para disponer de un Plan de Movilidad Sostenible: antes del 5 de diciembre",2026,2026-08-12,ES,"sindicato","Confirma fecha limite; sancion como infraccion leve de 101 a 2.000 EUR; devolucion de ayudas publicas si se incumple",ID-03,ID-03 (sancion baja),media-alta
S025,https://www.tornosabogados.com/el-real-decreto-ley-7-2026-reduce-a-12-meses-el-plazo-para-que-las-empresas-que-se-encuentren-obligadas-dispongan-de-un-plan-de-movilidad-sostenible/,"El RD-ley 7/2026 reduce a 12 meses el plazo del plan de movilidad",2026,2026-08-12,ES,"despacho de abogados","Confirma umbrales y plazo",ID-03,,media-alta
S026,https://cumpleo.com/servicios/plan-de-movilidad/,"Cumpleo - Plan de movilidad sostenible al centro de trabajo",n/d,2026-08-12,ES,"competidor","Ya existe oferta productizada low-cost frente a consultoras tradicionales",,ID-03,media
S027,https://www.transportes.gob.es/ministerio/comunicacion/sala-prensa/jue-23042026-2009,"Transportes facilita la elaboracion de los Planes de Movilidad Sostenible al Trabajo",2026-04-23,2026-08-12,ES,"organismo publico","El Ministerio publica pautas y guia oficial (acceso HTTP 403; solo ficha del buscador)",,ID-03 (guia oficial gratuita),alta
S028,https://www.pwc.es/es/newlaw-pulse/transformacion-legal/ley-prevencion-desperdicio-alimentario.html,"Ley 1/2025 de prevencion del desperdicio alimentario: guia practica",2025,2026-08-12,ES,"Big Four","Obligaciones del art. 6 exigibles desde 2/04/2026; regimen sancionador",ID-06,,alta
S029,https://www.hosteleriadigital.es/2026/03/26/hosteleria-de-espana-crea-una-herramienta-para-facilitar-a-los-establecimientos-el-cumplimiento-de-la-ley-de-desperdicio-alimentario/,"Hosteleria de Espana crea una herramienta gratuita de cumplimiento (hosteleriacircular.es)",2026-03-26,2026-08-12,ES,"prensa sectorial/asociacion","Existe herramienta gratuita oficial del sector: destruye la disposicion a pagar",,ID-06,alta
S030,https://restauracionnews.com/2026/03/desperdicio-cero-o-sanciones-1-2025/,"Desperdicio cero o sanciones: que exige la Ley 1/2025 a bares y restaurantes",2026-03,2026-08-12,ES,"prensa sectorial","Microempresas <10 trabajadores exentas del plan documental",,ID-06,media-alta
S031,https://www.ucae.es/horas-coste-gestion-documental-cae-empresa/,"Cuantas horas pierde tu empresa gestionando documentacion CAE",2026-06-12,2026-08-12,ES,"vendor/consultora","5-8 h/semana (5-10 contratas); 12-15 h/semana (15-25); 22-28 EUR/h; externalizar 3.000-8.000 EUR/ano",ID-04,,media
S032,https://twind.io/es/mejores-plataformas-cae/,"Las 15 mejores plataformas CAE en Espana 2026",2026,2026-08-12,ES,"competidor","Mercado con 15+ plataformas y planes gratuitos (DocuPRL)",,ID-04,media
S033,https://maldita.es/desinfo/20260506/noviembre-2026-nuevo-sistema-retorno-envases-recargo-aplicaria/,"Que sabemos sobre el SDDR de noviembre de 2026",2026-05-06,2026-08-12,ES,"verificador","Fecha limite legal confirmada pero MITECO no responde sobre calendario ni detalles tecnicos; hosteleria exenta en consumo en local",ID-12,ID-12 (incertidumbre),alta
S034,https://www.retema.es/actualidad/espana-afronta-el-reto-de-gestionar-17000-millones-de-envases-al-ano-con-el-futuro-sddr,"Espana afronta el reto de gestionar 17.000 millones de envases al ano con el futuro SDDR",2026,2026-08-12,ES,"prensa sectorial","Procircular Deposito autorizada como operador; +50 empresas preadheridas",ID-12,,media-alta
S035,https://noticias.juridicas.com/actualidad/noticias/20735-nueva-prorroga:-verifactu-no-sera-obligatorio-hasta-2027-para-sociedades-y-otros-contribuyentes/,"Nueva prorroga: Verifactu no sera obligatorio hasta 2027",2025-12,2026-08-12,ES,"prensa juridica","RD-ley 15/2025: 1/01/2027 (IS) y 1/07/2027 (resto)",,ID-07,alta
S036,https://www.iberley.es/noticias/publicado-boe-rd-factura-electronica-obligatoria-b2b-36274,"Publicado en el BOE el RD sobre factura electronica obligatoria B2B",2026-03-31,2026-08-12,ES,"prensa juridica","RD 238/2026; orden ministerial en vigor 1/10/2026; obligacion oct-2027 (>8 M EUR) y oct-2028 (resto)",ID-08,,alta
S037,https://www.protime.eu/es-es/noticias/registro-horario-digital-obligatorio-2026,"Registro horario digital obligatorio 2026",2026,2026-08-12,ES,"vendor","RD aun no publicado; aplazado a septiembre de 2026 tras dictamen desfavorable del Consejo de Estado",,ID-09,media
S038,https://www.iberley.es/revista/la-directiva-ue-2023-970-un-nuevo-umbral-exigencia-igualdad-retributiva-partir-7-junio-2026-1569,"Directiva (UE) 2023/970: nuevo umbral de exigencia desde el 7 de junio de 2026",2026,2026-08-12,ES/UE,"prensa juridica","Plazo de transposicion vencido sin norma espanola; obligaciones de informe desde 100 empleados",ID-18,,alta
S039,https://thinkpaladar.com/delivery-claims/,"ThinkPaladar Delivery Claims",n/d,2026-08-12,ES,"competidor directo","Audita liquidaciones de Glovo y Uber Eats, presenta reclamaciones y cobra solo un porcentaje de lo recuperado; benchmark comercial de incidencias 0,5-1% del GMV y recuperacion 60-80%",,ID-01,media
S040,https://barradeideas.com/thinkpaladar-la-startup-que-rentabiliza-el-delivery-de-los-restaurantes/,"ThinkPaladar: startup que rentabiliza el delivery",2024-05-10,2026-08-12,ES,"prensa sectorial","Mas de 150 clientes comunicados por el proveedor en mayo de 2024",,ID-01,media
S041,https://www.viaempresa.cat/es/empresa/think-paladar-restaurantes-delivery_2196211_102.html,"ThinkPaladar y la rentabilidad del delivery",2024-04-11,2026-08-12,ES,"prensa economica","Cerca de 100.000 EUR de facturacion en el primer ejercicio comercial segun la empresa",,ID-01,media
S042,https://help.uber.com/es-ES/merchants-and-restaurants/article/gestionar-los-reembolsos-de-pedidos-incompletos-o-incorrectos?nodeId=abc0c3e7-9687-4a00-a956-2c8a16cf0b7e,"Gestionar reembolsos de pedidos incompletos o incorrectos",n/d,2026-08-12,ES,"centro de ayuda/fuente primaria","Restringe disputas a administradores o managers; terceros no autorizados no pueden solicitar reembolsos; no compartir credenciales; puede exigir pruebas",,ID-01,alta
S043,https://www.uber.com/es/es-es/legal/uber-eats-merchant-terms-and-conditions/,"Condiciones de merchant de Uber Eats Espana",2025-10-17,2026-08-12,ES,"contrato/fuente primaria","Plazo contractual espanol de 14 dias naturales desde la notificacion del ajuste; prevalece frente a la ayuda localizada de 30 dias",,ID-01,alta
S044,https://www.uber.com/es/es-es/legal/uber-eats-merchant-order-form/,"Formulario de pedido de Uber Eats Espana",2026-03-06,2026-08-12,ES,"contrato/fuente primaria","Documentacion contractual especifica del mercado espanol y riesgo de cambios de condiciones",,ID-01,alta
S045,https://www.deliverect.com/es/reclaim-by-deliverect,"Reclaim by Deliverect",n/d,2026-08-12,ES/INT,"competidor directo","Servicio a exito con tecnologia, revision humana y presentacion de disputas",,ID-01,media
S046,https://www.deliverect.com/pt-pt/terms-of-service,"Condiciones de Deliverect Portugal",n/d,2026-08-12,PT,"contrato de competidor","Regula Reclaim y el nombramiento de Deliverect como usuario autorizado; tarifa por presupuesto",,ID-01,media-alta
S047,https://sinqro.com/pt-pt/learn/how-marketplace-settlements-work,"Como funcionan las liquidaciones de marketplaces - Sinqro PT",n/d,2026-08-12,PT,"competidor adyacente","Conciliacion de pedidos ausentes, reembolsos y comisiones incorrectas; no se verifica presentacion de reclamaciones",,ID-01,media
S048,https://sinqro.com/it-it/learn/how-marketplace-settlements-work,"Come funzionano i pagamenti dei marketplace - Sinqro IT",n/d,2026-08-12,IT,"competidor adyacente","Misma oferta de conciliacion disponible para mercado italiano",,ID-01,media
S049,https://www.sinqro.com/pt-pt/pricing,"Precos Sinqro Portugal",n/d,2026-08-12,PT,"precio de competidor","Configurador desde 29 EUR/local/mes en una configuracion inicial; no identifica precio separado de auditoria",,ID-01,media
S050,https://www.cnmc.es/sites/default/files/2804135_0.pdf,"Estudio sobre servicios de entrega de comida a domicilio E/CNMC/004/19",2019,2026-08-12,ES,"organismo publico","Confirma peso de comisiones pero no publica media de cargos indebidos ni recuperaciones; datos empresariales parcialmente confidenciales",,ID-01,alta
S051,https://www.hosteleriamadrid.com/blog/descubre-como-han-evolucionado-las-comisiones-del-delivery-en-el-ultimo-ano/,"Evolucion de las comisiones del delivery",n/d,2026-08-12,ES,"asociacion sectorial","Ejemplos de porcentajes de comision; no mide errores ni recuperaciones",,ID-01,media
S052,https://www.boe.es/buscar/act.php?id=BOE-A-1889-4763,"Codigo Civil - texto consolidado",n/d,2026-08-12,ES,"legislacion/fuente primaria","Arts. 1255, 1544 y 1709-1713: libertad contractual, arrendamiento de servicios y mandato",ID-01,,alta
S053,https://www.boe.es/buscar/doc.php?id=BOE-A-2018-16036,"Real Decreto-ley 19/2018 de servicios de pago",2018-11-23,2026-08-12,ES,"legislacion/fuente primaria","Riesgo regulatorio adicional si el proveedor recibe o custodia el dinero recuperado",,ID-01,alta
S054,https://www.aepd.es/prensa-y-comunicacion/blog/comunidades-de-propietarios-y-administradores-de-fincas-ante-el-rgpd,"AEPD: responsable y encargado del tratamiento",2018,2026-08-12,ES,"organismo publico","Necesidad de contrato de encargado cuando el proveedor trata datos por cuenta del restaurante",,ID-01,alta
S055,https://www.aepd.es/derechos-y-deberes/cumple-tus-deberes/medidas-de-cumplimiento/proteccion-de-datos-por-defecto,"AEPD: proteccion de datos por defecto",2026-01-05,2026-08-12,ES,"organismo publico","Minimizacion, configuracion restrictiva y eliminacion de datos innecesarios",,ID-01,alta
S056,https://www.aepd.es/derechos-y-deberes/cumple-tus-deberes/medidas-de-cumplimiento/garantias-transferencias-datos-personales,"AEPD: garantias para transferencias internacionales",2026-06-19,2026-08-12,ES,"organismo publico","Obligaciones al usar subencargados y servicios fuera del EEE",,ID-01,alta
