idea_id,prioridad,tipo,nicho,tipo_y_tamano,decisor,dolor_principal,herramientas_actuales,senales_publicas,donde_encontrar,directorio_o_enlace,oferta_inicial,mensaje_posicionamiento,objecion_previsible,precio_razonable,ciclo_comercial
ID-03,1,"nicho de entrada","Centros industriales y logisticos de mas de 200 trabajadores","Industria, logistica y agroalimentario","Responsable de RRHH o prevencion","Fecha limite 5/12/2026 y devolucion de ayudas publicas si incumplen","Nada o consultora","Ofertas de empleo masivas, notas de prensa de ampliacion de plantilla","Asociaciones de poligonos y federaciones empresariales provinciales","https://www.cepyme.es/","Encuesta a plantilla gratuita y borrador de plan","Tu plan de movilidad en 15 dias por una fraccion de lo que cobra una consultora","La multa es de 2.000 EUR, no corre prisa","900-1.800 EUR por centro","30-60 dias"
ID-03,2,"nicho secundario","Hospitales, universidades y administraciones","Sector publico y concertado","Gerencia o sostenibilidad","Obligados igual que las empresas y con escrutinio publico","Nada o estudios propios","Sus plantillas y organigramas son publicos","Portales de transparencia y sedes electronicas","https://www.hacienda.gob.es/","Encuesta y plan","Cumplimiento con datos, no con un documento generico","Contratacion publica: hay que licitar","1.200-1.800 EUR por centro","60-120 dias"
ID-03,9,"anti-nicho","Empresas con centros de menos de 200 trabajadores","Pymes","-","No estan obligadas","-","-","-","-","No vender","-","-","-","-"
ID-01,1,"fuente de prospeccion","Red personal del fundador","-","-","-","-","-","Contactos directos de hosteleria y propietarios de varios locales","(privado)","Auditoria gratuita","-","-","-","24-72 horas"
ID-01,1,"fuente de prospeccion","Listados por ciudad en las apps de delivery","-","-","-","-","-","Filtrar por ciudad y categoria; identificar marcas con varios locales","https://glovoapp.com/es/es/","-","-","-","-","-"
ID-01,2,"fuente de prospeccion","Google Maps por termino y ciudad","-","-","-","-","-","Buscar categorias de restauracion y cruzar con presencia en apps","https://www.google.com/maps","-","-","-","-","-"
ID-01,2,"fuente de prospeccion","Hosteleria de Espana y federaciones provinciales","-","-","-","-","-","Directorio de asociaciones provinciales de hosteleria","https://www.hosteleriadeespana.es/","-","-","-","-","-"
ID-01,3,"fuente de prospeccion","Hosteleria Madrid","-","-","-","-","-","Asociacion empresarial con base de asociados y agenda de eventos","https://www.hosteleriamadrid.com/","-","-","-","-","-"
ID-01,3,"fuente de prospeccion","Federacion de hosteleria de Zaragoza (Horeca)","-","-","-","-","-","Asociacion provincial con comunicaciones sectoriales","https://horecazaragoza.com/","-","-","-","-","-"
ID-01,3,"fuente de prospeccion","Asociacion de Restaurantes de Alicante","-","-","-","-","-","Asociacion provincial","https://www.araalicante.com/","-","-","-","-","-"
ID-01,4,"fuente de prospeccion","Prensa sectorial: Hosteleria Digital","-","-","-","-","-","Publica nombres de grupos de restauracion y aperturas","https://www.hosteleriadigital.es/","-","-","-","-","-"
ID-01,4,"fuente de prospeccion","Prensa sectorial: Restauracion News","-","-","-","-","-","Cobertura de grupos multi-local y expansiones","https://restauracionnews.com/","-","-","-","-","-"
ID-01,4,"fuente de prospeccion","Prensa sectorial: Profesional Horeca","-","-","-","-","-","Cobertura de relacion entre plataformas y hosteleros","https://www.profesionalhoreca.com/","-","-","-","-","-"
ID-01,5,"fuente de prospeccion","LinkedIn por cargo","-","-","-","-","-","Buscar director de operaciones y responsable de delivery en restauracion","https://www.linkedin.com/","-","-","-","-","-"
