source_id,url,titulo,fecha_publicacion,fecha_consulta,pais,tipo_fuente,señal,apoya,refuta,fiabilidad
B2-S11,https://elmercantil.com/2026/04/07/documento-de-control-digital-guia-para-entender-la-nueva-obligacion-del-transporte/,"Documento de control digital: guia para entender la nueva obligacion",2026-04-07,2026-08-12,ES,"prensa sectorial","Alcance de la obligacion: cargadores, transportistas, operadores logisticos y subcontratistas",N-01;N-03,,media-alta
B2-S12,https://informacionlogistica.com/documento-de-control-de-transporte-digital-si-en-octubre-lo-llevas-en-papel-te-multaran/,"Si en octubre lo llevas en papel, te multaran",2026,2026-08-12,ES,"prensa sectorial","Papel en inspeccion = infraccion grave LOTT 401-2.000 EUR + inmovilizacion de vehiculo y carga",N-01,,media
B2-S13,https://easysellapp.com/blogs/wiki/shopify-checkout-extensibility-migration-deadline-august-2026,"Shopify's Checkout Migration Deadline Is August 26",2026,2026-08-12,US,"vendor/competidor","Google Ads, campos personalizados y logica COD dejan de funcionar si no se migra",N-04,,media
B2-S14,https://www.saasrise.com/news/shopify-enforces-checkout-extensibility-deadline-disrupting-over-5000-plus-merchants-559df4a7-c26b-488e-a8c6-93f5b758d7cd,"Shopify enforces checkout extensibility deadline disrupting over 5000 Plus merchants",2026,2026-08-12,US,"prensa sectorial","Bloqueo duro desde el 13/08/2026 para ~5.200 comercios Plus",N-04,,media
B2-S15,https://biscuitsbundles.com/blogs/learn/shopify-checkout-extensibility-for-non-plus-stores-what-breaks-on-august-26-2026-and-how-to-migrate-in-time,"What breaks on August 26, 2026 for non-Plus stores",2026,2026-08-12,US,"vendor","Los Additional Scripts y personalizaciones de Thank You / Order Status se eliminan, no se migran",N-04,,media
B2-S16,https://trends.builtwith.com/shop/country/Spain,"eCommerce Usage Distribution in Spain (BuiltWith)",2025-05-13,2026-08-12,ES,"datos de mercado","35.443 sitios con Shopify en Espana, 21,83% del ecommerce; WooCommerce 38.820",N-04,,media-alta
B2-S17,https://weltpixel.com/blogs/news/best-shopify-conversion-tracking-apps-2026,"Best Shopify Conversion Tracking Apps Compared (2026)",2026,2026-08-12,US,"competidor","Elevar 250-1.000 USD/mes; Littledata 109-1.900 USD/mes; Analyzify 200-500 USD unico; mas Stape, Trackify, WeltPixel",,N-04,media
B2-S18,https://www.sociummedia.com/blog/shopify-checkout-extensibility-conversion-tracking/,"Is Shopify Checkout Extensibility Breaking Your Paid Conversion Tracking?",2026,2026-08-12,US,"agencia","Las etiquetas de conversion que disparaban en /thank_you dejan de funcionar",N-04,,media
B2-S19,https://roastbrief.com.mx/2026/04/la-ia-de-google-redefine-las-resenas-un-nuevo-desafio-para-la-reputacion-digital-de-las-pymes/,"La IA de Google redefine las resenas: nuevo desafio para la reputacion de las pymes",2026-04,2026-08-12,MX/ES,"prensa sectorial","Pico de eliminaciones en julio de 2025: ~2% de ubicaciones monitorizadas perdio una resena en una semana",N-06,,media
B2-S20,https://www.business-ereputation.com/es/google-my-business-en-2026-que-va-a-cambiar-realmente-y-como-prepararse/,"Google My Business en 2026: que va a cambiar realmente",2026,2026-08-12,ES,"agencia","Politica endurecida en 2026: prohibido pedir mencion de empleado, quioscos e incentivos; perfiles inactivos >30 dias pierden visibilidad",N-06,,media
B2-S21,https://www.aboutamazon.es/noticias/apoyo-a-las-pymes/actualizacion-tarifas-referencia-logistica-amazon-europa--2026,"Actualizacion de las tarifas de referencia y logistica de Amazon en Europa para 2026",2025-12,2026-08-12,ES,"fuente primaria (Amazon)","Amazon REDUCE tarifas: -0,20 EUR/unidad FBA estandar; comisiones Ropa 8%->5%, Hogar 15%->8%",,N-12,alta
B2-S22,https://es.jooble.org/trabajo-data-entry/Espa%C3%B1a,"Ofertas de trabajo de data entry en Espana",2026,2026-08-12,ES,"portal de empleo","Ofertas activas de grabacion de facturas, cotejo de albaranes con pedidos e introduccion de datos: tareas automatizables que se siguen contratando",N-08,,media
